"","fold1","fold2","fold3","fold4"
"99",NA,0,NA,NA
"100",NA,0,NA,NA
"101",NA,NA,0,NA
"102",NA,0,NA,NA
"103",1,NA,NA,NA
"104",NA,0,NA,NA
"105",NA,NA,0,NA
"106",NA,0,NA,NA
"107",NA,NA,NA,0
"108",NA,NA,NA,0
"109",NA,NA,1,NA
"110",NA,0,NA,NA
"111",NA,0,NA,NA
"112",NA,NA,0,NA
"113",NA,0,NA,NA
"114",NA,NA,0,NA
"115",NA,NA,NA,1
"116",NA,NA,1,NA
"117",NA,0,NA,NA
"118",NA,NA,1,NA
"119",NA,NA,NA,1
"120",NA,NA,NA,0
"121",0,NA,NA,NA
"122",NA,NA,0,NA
"123",NA,NA,NA,0
"124",NA,NA,0,NA
"125",NA,NA,1,NA
"126",NA,NA,NA,0
"127",NA,NA,0,NA
"128",0,NA,NA,NA
"129",NA,NA,NA,0
"130",NA,0,NA,NA
"131",NA,NA,0,NA
"132",NA,0,NA,NA
"133",NA,NA,0,NA
"134",NA,0,NA,NA
"135",NA,NA,0,NA
"136",NA,NA,0,NA
"137",NA,NA,NA,1
"138",NA,NA,NA,0
"139",NA,1,NA,NA
"140",NA,NA,NA,0
"141",NA,NA,NA,0
"142",1,NA,NA,NA
"143",0,NA,NA,NA
"144",0,NA,NA,NA
"145",0,NA,NA,NA
"146",NA,NA,NA,0
"147",0,NA,NA,NA
"148",NA,NA,0,NA
"149",NA,NA,NA,1
"150",NA,NA,0,NA
"151",0,NA,NA,NA
"152",NA,NA,0,NA
"153",NA,0,NA,NA
"154",NA,NA,NA,1
"155",0,NA,NA,NA
"156",0,NA,NA,NA
"157",NA,0,NA,NA
"158",NA,NA,0,NA
"159",NA,0,NA,NA
"160",NA,NA,0,NA
"161",0,NA,NA,NA
"162",NA,NA,0,NA
"163",NA,NA,0,NA
"164",NA,NA,NA,0
"165",NA,0,NA,NA
"166",NA,NA,NA,1
"167",NA,NA,NA,0
"168",NA,1,NA,NA
"169",NA,NA,0,NA
"170",NA,NA,NA,0
"171",0,NA,NA,NA
"172",NA,NA,NA,0
"173",0,NA,NA,NA
"174",NA,NA,0,NA
"175",0,NA,NA,NA
"176",NA,NA,NA,0
"177",NA,NA,NA,0
"178",NA,0,NA,NA
"179",NA,NA,0,NA
"180",NA,NA,NA,0
"181",NA,NA,NA,0
"182",NA,NA,NA,0
"183",0,NA,NA,NA
"184",NA,NA,0,NA
"185",NA,0,NA,NA
"186",NA,0,NA,NA
"187",1,NA,NA,NA
"188",0,NA,NA,NA
"189",NA,NA,0,NA
"190",NA,0,NA,NA
"191",NA,NA,0,NA
"192",NA,NA,NA,0
"193",NA,0,NA,NA
"194",0,NA,NA,NA
"195",NA,NA,NA,0
"196",0,NA,NA,NA
"197",NA,NA,NA,0
"198",NA,NA,0,NA
"199",NA,NA,NA,0
"200",0,NA,NA,NA
"201",NA,NA,0,NA
"202",NA,NA,NA,0
"203",0,NA,NA,NA
"204",0,NA,NA,NA
"205",NA,NA,0,NA
"206",NA,NA,NA,1
"207",1,NA,NA,NA
"208",0,NA,NA,NA
"209",NA,NA,0,NA
"210",NA,0,NA,NA
"211",NA,NA,NA,0
"212",NA,NA,0,NA
"213",0,NA,NA,NA
"214",NA,NA,1,NA
"215",NA,NA,1,NA
"216",0,NA,NA,NA
"217",NA,NA,0,NA
"218",NA,0,NA,NA
"219",NA,NA,NA,0
"220",0,NA,NA,NA
"221",0,NA,NA,NA
"222",0,NA,NA,NA
"223",NA,NA,NA,0
"224",NA,NA,NA,0
"225",NA,0,NA,NA
"226",NA,NA,NA,1
"227",NA,NA,0,NA
"228",NA,0,NA,NA
"229",NA,NA,NA,0
"230",NA,NA,NA,0
"231",NA,NA,NA,0
"232",NA,NA,NA,0
"233",NA,NA,0,NA
"234",0,NA,NA,NA
"235",NA,0,NA,NA
"236",NA,NA,NA,0
"237",NA,0,NA,NA
"238",NA,NA,NA,0
"239",NA,NA,NA,0
"240",NA,NA,0,NA
"241",NA,1,NA,NA
"242",0,NA,NA,NA
"243",0,NA,NA,NA
"244",0,NA,NA,NA
"245",0,NA,NA,NA
"246",NA,0,NA,NA
"247",NA,NA,NA,0
"248",NA,0,NA,NA
"249",NA,0,NA,NA
"250",0,NA,NA,NA
"251",NA,1,NA,NA
"252",NA,NA,NA,1
"253",NA,NA,NA,0
"254",NA,NA,0,NA
"255",0,NA,NA,NA
"256",0,NA,NA,NA
"257",NA,NA,1,NA
"258",NA,0,NA,NA
"259",NA,0,NA,NA
"260",NA,0,NA,NA
"261",NA,0,NA,NA
"262",NA,NA,NA,0
"263",NA,NA,0,NA
"264",0,NA,NA,NA
"265",NA,1,NA,NA
"266",NA,0,NA,NA
"267",NA,NA,NA,0
"268",NA,NA,NA,0
"269",NA,0,NA,NA
"270",NA,NA,0,NA
"271",NA,NA,0,NA
"272",0,NA,NA,NA
"273",NA,NA,0,NA
"274",NA,NA,NA,0
"275",0,NA,NA,NA
"276",NA,0,NA,NA
"277",NA,0,NA,NA
"278",NA,0,NA,NA
"279",1,NA,NA,NA
"280",NA,NA,0,NA
"281",NA,NA,NA,0
"282",0,NA,NA,NA
"283",NA,NA,NA,0
"284",NA,0,NA,NA
"285",NA,NA,0,NA
"286",0,NA,NA,NA
"287",NA,NA,NA,0
"288",0,NA,NA,NA
"289",NA,NA,1,NA
"290",NA,0,NA,NA
"291",NA,NA,NA,0
"292",NA,NA,NA,0
"293",NA,NA,1,NA
"294",NA,NA,NA,0
"295",0,NA,NA,NA
"296",NA,0,NA,NA
"297",0,NA,NA,NA
"298",NA,0,NA,NA
"299",NA,NA,NA,0
"300",NA,NA,NA,1
"301",NA,NA,0,NA
"302",NA,NA,0,NA
"303",NA,NA,NA,0
"304",NA,NA,NA,0
"305",NA,NA,0,NA
"306",NA,NA,NA,0
"307",0,NA,NA,NA
"308",0,NA,NA,NA
"309",NA,NA,NA,0
"310",NA,NA,0,NA
"311",NA,NA,0,NA
"312",NA,1,NA,NA
"313",NA,NA,NA,0
"314",NA,NA,0,NA
"315",NA,NA,0,NA
"316",0,NA,NA,NA
"317",NA,NA,NA,0
"318",NA,0,NA,NA
"319",0,NA,NA,NA
"320",NA,1,NA,NA
"321",NA,0,NA,NA
"322",NA,NA,NA,0
"323",NA,1,NA,NA
"324",0,NA,NA,NA
"325",0,NA,NA,NA
"326",NA,NA,NA,1
"327",0,NA,NA,NA
"328",NA,NA,0,NA
"329",0,NA,NA,NA
"330",NA,NA,NA,0
"331",NA,NA,0,NA
"332",NA,NA,NA,0
"333",NA,NA,NA,1
"334",NA,NA,NA,0
"335",NA,NA,0,NA
"336",0,NA,NA,NA
"337",NA,NA,NA,1
"338",NA,NA,0,NA
"339",NA,NA,NA,0
"340",1,NA,NA,NA
"341",NA,NA,0,NA
"342",NA,1,NA,NA
"343",1,NA,NA,NA
"344",NA,NA,1,NA
"345",NA,NA,0,NA
"346",NA,NA,1,NA
"347",NA,NA,NA,1
"348",NA,NA,0,NA
"349",NA,NA,1,NA
"350",NA,NA,NA,1
"351",1,NA,NA,NA
"352",1,NA,NA,NA
"353",NA,NA,1,NA
"354",NA,0,NA,NA
"355",NA,NA,0,NA
"356",NA,NA,1,NA
"357",NA,0,NA,NA
"358",NA,0,NA,NA
"359",0,NA,NA,NA
"360",NA,0,NA,NA
"361",1,NA,NA,NA
"362",NA,0,NA,NA
"363",NA,NA,0,NA
"364",NA,0,NA,NA
"365",0,NA,NA,NA
"366",NA,NA,NA,1
"367",0,NA,NA,NA
"368",NA,NA,NA,0
"369",0,NA,NA,NA
"370",NA,NA,0,NA
"371",0,NA,NA,NA
"372",NA,NA,0,NA
"373",0,NA,NA,NA
"374",NA,NA,NA,0
"375",0,NA,NA,NA
"376",NA,NA,0,NA
"377",NA,NA,1,NA
"378",NA,NA,1,NA
"379",NA,0,NA,NA
"380",NA,0,NA,NA
"381",NA,NA,0,NA
"382",NA,NA,NA,0
"383",NA,NA,NA,1
"384",NA,NA,0,NA
"385",NA,NA,0,NA
"386",NA,0,NA,NA
"387",NA,NA,0,NA
"388",NA,NA,NA,0
"389",NA,NA,NA,0
"390",0,NA,NA,NA
"391",0,NA,NA,NA
"392",NA,NA,0,NA
"393",NA,NA,1,NA
"394",NA,NA,NA,0
"395",NA,0,NA,NA
"396",NA,NA,NA,0
"397",NA,NA,0,NA
"398",NA,0,NA,NA
"399",NA,0,NA,NA
"400",NA,NA,0,NA
"401",NA,NA,1,NA
"402",NA,NA,NA,0
"403",1,NA,NA,NA
"404",0,NA,NA,NA
"405",1,NA,NA,NA
"406",NA,0,NA,NA
"407",0,NA,NA,NA
"408",0,NA,NA,NA
"409",NA,0,NA,NA
"410",NA,NA,NA,0
"411",NA,NA,NA,0
"412",NA,NA,0,NA
"413",NA,0,NA,NA
"414",NA,0,NA,NA
"415",NA,NA,NA,1
"416",NA,0,NA,NA
"417",0,NA,NA,NA
"418",NA,NA,NA,0
"419",NA,NA,NA,1
"420",1,NA,NA,NA
"421",0,NA,NA,NA
"422",NA,NA,NA,0
"423",NA,NA,NA,0
"424",0,NA,NA,NA
"425",NA,NA,0,NA
"426",NA,NA,0,NA
"427",NA,NA,NA,0
"428",NA,0,NA,NA
"429",NA,NA,NA,0
"430",NA,NA,0,NA
"431",NA,NA,0,NA
"432",0,NA,NA,NA
"433",0,NA,NA,NA
"434",0,NA,NA,NA
"435",0,NA,NA,NA
"436",NA,0,NA,NA
"437",NA,NA,0,NA
"438",0,NA,NA,NA
"439",NA,0,NA,NA
"440",NA,NA,0,NA
"441",NA,NA,0,NA
"442",NA,NA,0,NA
"443",NA,NA,NA,0
"444",NA,NA,0,NA
"445",NA,0,NA,NA
"446",NA,NA,NA,0
"447",NA,NA,NA,0
"448",NA,NA,NA,0
"449",NA,NA,NA,1
"450",NA,NA,0,NA
"451",NA,0,NA,NA
"452",NA,0,NA,NA
"453",NA,NA,0,NA
"454",0,NA,NA,NA
"455",0,NA,NA,NA
"456",NA,NA,NA,0
"457",1,NA,NA,NA
"458",1,NA,NA,NA
"459",NA,NA,NA,0
"460",NA,NA,0,NA
"461",NA,0,NA,NA
"462",0,NA,NA,NA
"463",NA,NA,0,NA
"464",NA,NA,NA,0
"465",NA,NA,0,NA
"466",NA,0,NA,NA
"467",NA,1,NA,NA
"468",NA,NA,NA,1
"469",NA,0,NA,NA
"470",1,NA,NA,NA
"471",NA,NA,NA,0
"472",NA,0,NA,NA
"473",NA,NA,0,NA
"474",NA,NA,0,NA
"475",NA,0,NA,NA
"476",NA,NA,NA,1
"477",NA,NA,NA,0
"478",NA,0,NA,NA
"479",NA,0,NA,NA
"480",0,NA,NA,NA
"481",NA,NA,NA,0
"482",NA,NA,NA,1
"483",NA,NA,1,NA
"484",NA,NA,0,NA
"485",NA,NA,1,NA
"486",NA,NA,NA,1
"487",NA,NA,NA,0
"488",NA,NA,NA,0
"489",0,NA,NA,NA
"490",NA,0,NA,NA
"491",0,NA,NA,NA
"492",0,NA,NA,NA
"493",NA,NA,NA,1
"494",NA,NA,NA,0
"495",NA,NA,NA,0
"496",NA,NA,0,NA
"497",NA,0,NA,NA
"498",NA,NA,0,NA
"499",NA,NA,0,NA
"500",0,NA,NA,NA
"501",NA,NA,0,NA
"502",NA,NA,0,NA
"503",NA,NA,0,NA
"504",NA,NA,0,NA
"505",1,NA,NA,NA
"506",0,NA,NA,NA
"507",NA,NA,NA,1
"508",NA,NA,NA,0
"509",0,NA,NA,NA
"510",NA,NA,1,NA
"511",NA,NA,NA,0
"512",0,NA,NA,NA
"513",NA,NA,1,NA
"514",NA,NA,0,NA
"515",NA,NA,0,NA
"516",NA,NA,NA,0
"517",NA,NA,0,NA
"518",0,NA,NA,NA
"519",NA,NA,1,NA
"520",NA,NA,1,NA
"521",0,NA,NA,NA
"522",NA,0,NA,NA
"523",1,NA,NA,NA
"524",NA,NA,NA,0
"525",NA,0,NA,NA
"526",NA,NA,0,NA
"527",0,NA,NA,NA
"528",0,NA,NA,NA
"529",0,NA,NA,NA
"530",NA,NA,1,NA
"531",NA,NA,0,NA
"532",NA,0,NA,NA
"533",NA,NA,0,NA
"534",0,NA,NA,NA
"535",NA,0,NA,NA
"536",0,NA,NA,NA
"537",NA,NA,0,NA
"538",0,NA,NA,NA
"539",NA,NA,1,NA
"540",NA,NA,NA,0
"541",NA,0,NA,NA
"542",NA,NA,NA,0
"543",NA,NA,NA,1
"544",NA,0,NA,NA
"545",NA,NA,NA,0
"546",NA,NA,NA,0
"547",NA,NA,0,NA
"548",NA,NA,NA,0
"549",NA,NA,0,NA
"550",NA,NA,NA,0
"551",NA,NA,0,NA
"552",NA,NA,0,NA
"553",NA,NA,0,NA
"554",NA,0,NA,NA
"555",0,NA,NA,NA
"556",NA,NA,NA,0
"557",NA,NA,NA,0
"558",NA,NA,0,NA
"559",NA,NA,0,NA
"560",NA,1,NA,NA
"561",NA,NA,NA,0
"562",NA,NA,NA,0
"563",1,NA,NA,NA
"564",1,NA,NA,NA
"565",NA,0,NA,NA
"566",NA,NA,NA,0
"567",0,NA,NA,NA
"568",0,NA,NA,NA
"569",NA,1,NA,NA
"570",NA,NA,0,NA
"571",NA,NA,NA,0
"572",0,NA,NA,NA
"573",NA,0,NA,NA
"574",1,NA,NA,NA
"575",NA,NA,0,NA
"576",NA,0,NA,NA
"577",NA,NA,NA,0
"578",0,NA,NA,NA
"579",NA,NA,NA,0
"580",NA,0,NA,NA
"581",NA,NA,0,NA
"582",NA,NA,0,NA
"583",0,NA,NA,NA
"584",NA,NA,1,NA
"585",NA,NA,NA,0
"586",NA,NA,NA,0
"587",NA,NA,1,NA
"588",0,NA,NA,NA
"589",NA,NA,NA,0
"590",NA,0,NA,NA
"591",NA,0,NA,NA
"592",NA,0,NA,NA
"593",NA,0,NA,NA
"594",NA,0,NA,NA
"595",NA,0,NA,NA
"596",NA,NA,0,NA
"597",0,NA,NA,NA
"598",NA,NA,1,NA
"599",NA,0,NA,NA
"600",0,NA,NA,NA
"601",NA,NA,1,NA
"602",1,NA,NA,NA
"603",NA,NA,NA,0
"604",NA,0,NA,NA
"605",0,NA,NA,NA
"606",NA,0,NA,NA
"607",1,NA,NA,NA
"608",NA,0,NA,NA
"609",0,NA,NA,NA
"610",NA,NA,0,NA
"611",NA,0,NA,NA
"612",NA,NA,NA,0
"613",NA,NA,NA,0
"614",NA,NA,1,NA
"615",NA,NA,1,NA
"616",NA,NA,1,NA
"617",0,NA,NA,NA
"618",NA,NA,0,NA
"619",0,NA,NA,NA
"620",NA,1,NA,NA
"621",NA,0,NA,NA
"622",NA,0,NA,NA
"623",0,NA,NA,NA
"624",NA,0,NA,NA
"625",1,NA,NA,NA
"626",NA,NA,NA,0
"627",NA,0,NA,NA
"628",NA,0,NA,NA
"629",NA,NA,0,NA
"630",NA,1,NA,NA
"631",NA,NA,NA,0
"632",NA,NA,NA,0
"633",NA,NA,0,NA
"634",1,NA,NA,NA
"635",NA,0,NA,NA
"636",0,NA,NA,NA
"637",0,NA,NA,NA
"638",NA,0,NA,NA
"639",NA,NA,NA,0
"640",NA,0,NA,NA
"641",0,NA,NA,NA
"642",NA,NA,NA,0
"643",1,NA,NA,NA
"644",0,NA,NA,NA
"645",1,NA,NA,NA
"646",0,NA,NA,NA
"647",NA,NA,0,NA
"648",NA,NA,NA,1
"649",0,NA,NA,NA
"650",NA,NA,0,NA
"651",NA,NA,0,NA
"652",0,NA,NA,NA
"653",NA,NA,0,NA
"654",NA,NA,NA,0
"655",NA,0,NA,NA
"656",NA,1,NA,NA
"657",0,NA,NA,NA
"658",0,NA,NA,NA
"659",NA,0,NA,NA
"660",NA,NA,NA,0
"661",NA,NA,0,NA
"662",NA,NA,0,NA
"663",NA,NA,1,NA
"664",NA,NA,0,NA
"665",NA,0,NA,NA
"666",NA,NA,0,NA
"667",NA,NA,0,NA
"668",NA,NA,1,NA
"669",NA,NA,0,NA
"670",NA,0,NA,NA
"671",NA,NA,0,NA
"672",NA,0,NA,NA
"673",0,NA,NA,NA
"674",0,NA,NA,NA
"675",0,NA,NA,NA
"676",NA,0,NA,NA
"677",1,NA,NA,NA
"678",1,NA,NA,NA
"679",NA,NA,NA,0
"680",0,NA,NA,NA
"681",NA,0,NA,NA
"682",1,NA,NA,NA
"683",NA,NA,NA,0
"684",NA,NA,NA,0
"685",0,NA,NA,NA
"686",0,NA,NA,NA
"687",NA,NA,0,NA
"688",NA,1,NA,NA
"689",NA,NA,1,NA
"690",1,NA,NA,NA
"691",NA,0,NA,NA
"692",NA,1,NA,NA
"693",0,NA,NA,NA
"694",0,NA,NA,NA
"695",NA,NA,0,NA
"696",NA,0,NA,NA
"697",NA,0,NA,NA
"698",NA,NA,NA,0
"699",NA,1,NA,NA
"700",NA,NA,0,NA
"701",1,NA,NA,NA
"702",NA,NA,0,NA
"703",NA,NA,0,NA
"704",0,NA,NA,NA
"705",NA,NA,NA,0
"706",NA,NA,NA,0
"707",NA,0,NA,NA
"708",0,NA,NA,NA
"709",NA,NA,NA,1
"710",NA,NA,NA,1
"711",NA,NA,NA,0
"712",NA,0,NA,NA
"713",NA,NA,NA,0
"714",NA,0,NA,NA
"715",NA,NA,1,NA
"716",NA,0,NA,NA
"717",0,NA,NA,NA
"718",0,NA,NA,NA
"719",NA,0,NA,NA
"720",0,NA,NA,NA
"721",0,NA,NA,NA
"722",NA,NA,NA,0
"723",0,NA,NA,NA
"724",NA,NA,NA,1
"725",NA,0,NA,NA
"726",NA,NA,NA,1
"727",NA,NA,1,NA
"728",NA,0,NA,NA
"729",NA,0,NA,NA
"730",NA,NA,NA,1
"731",NA,0,NA,NA
"732",NA,NA,0,NA
"733",NA,0,NA,NA
"734",NA,NA,NA,0
"735",NA,NA,1,NA
"736",NA,NA,NA,1
"737",0,NA,NA,NA
"738",NA,NA,NA,0
"739",NA,1,NA,NA
"740",NA,1,NA,NA
"741",NA,NA,NA,0
"742",NA,NA,NA,0
"743",NA,NA,0,NA
"744",1,NA,NA,NA
"745",NA,NA,1,NA
"746",NA,NA,NA,0
"747",NA,0,NA,NA
"748",1,NA,NA,NA
"749",NA,0,NA,NA
"750",NA,NA,NA,0
"751",0,NA,NA,NA
"752",0,NA,NA,NA
"753",NA,1,NA,NA
"754",NA,0,NA,NA
"755",NA,NA,0,NA
"756",NA,NA,0,NA
"757",NA,NA,0,NA
"758",NA,NA,NA,0
"759",NA,NA,NA,0
"760",NA,0,NA,NA
"761",NA,0,NA,NA
"762",1,NA,NA,NA
"763",NA,NA,NA,0
"764",NA,NA,1,NA
"765",NA,0,NA,NA
"766",NA,NA,0,NA
"767",NA,NA,0,NA
"768",NA,NA,NA,1
"769",1,NA,NA,NA
"770",NA,0,NA,NA
"771",NA,NA,0,NA
"772",NA,NA,1,NA
"773",NA,NA,0,NA
"774",NA,NA,0,NA
"775",NA,0,NA,NA
"776",NA,NA,NA,0
"777",NA,NA,NA,1
"778",NA,NA,0,NA
"779",NA,NA,0,NA
"780",0,NA,NA,NA
"781",NA,0,NA,NA
"782",NA,NA,NA,1
"783",0,NA,NA,NA
"784",0,NA,NA,NA
"785",NA,1,NA,NA
"786",0,NA,NA,NA
"787",NA,NA,NA,0
"788",NA,0,NA,NA
"789",0,NA,NA,NA
"790",NA,NA,0,NA
"791",NA,NA,0,NA
"792",NA,NA,0,NA
"793",0,NA,NA,NA
"794",NA,0,NA,NA
"795",NA,0,NA,NA
"796",0,NA,NA,NA
"797",NA,NA,0,NA
"798",NA,NA,0,NA
"799",NA,NA,0,NA
"800",NA,NA,1,NA
"801",0,NA,NA,NA
"802",NA,0,NA,NA
"803",NA,NA,1,NA
"804",0,NA,NA,NA
"805",NA,0,NA,NA
"806",NA,NA,0,NA
"807",0,NA,NA,NA
"808",NA,NA,0,NA
"809",NA,1,NA,NA
"810",0,NA,NA,NA
"811",NA,NA,1,NA
"812",NA,1,NA,NA
"813",NA,NA,0,NA
"814",NA,1,NA,NA
"815",NA,NA,NA,0
"816",0,NA,NA,NA
"817",NA,1,NA,NA
"818",NA,NA,0,NA
"819",NA,NA,NA,0
"820",0,NA,NA,NA
"821",NA,NA,NA,0
"822",NA,NA,0,NA
"823",NA,0,NA,NA
"824",NA,NA,0,NA
"825",0,NA,NA,NA
"826",0,NA,NA,NA
"827",NA,NA,NA,0
"828",NA,NA,NA,0
"829",0,NA,NA,NA
"830",NA,NA,NA,0
"831",NA,NA,0,NA
"832",1,NA,NA,NA
"833",NA,0,NA,NA
"834",0,NA,NA,NA
"835",NA,NA,0,NA
"836",0,NA,NA,NA
"837",NA,0,NA,NA
"838",NA,NA,NA,0
"839",NA,NA,NA,0
"840",NA,NA,1,NA
"841",NA,0,NA,NA
"842",NA,NA,NA,0
"843",NA,NA,0,NA
"844",NA,NA,NA,0
"845",NA,NA,NA,0
"846",NA,NA,NA,0
"847",NA,NA,NA,0
"848",NA,NA,0,NA
"849",1,NA,NA,NA
"850",NA,NA,NA,0
"851",NA,0,NA,NA
"852",0,NA,NA,NA
"853",NA,NA,NA,1
"854",0,NA,NA,NA
"855",NA,NA,NA,1
"856",NA,NA,NA,0
"857",NA,0,NA,NA
"858",NA,0,NA,NA
"859",NA,0,NA,NA
"860",0,NA,NA,NA
"861",NA,NA,NA,0
"862",NA,NA,0,NA
"863",NA,0,NA,NA
"864",NA,NA,0,NA
"865",NA,NA,NA,1
"866",0,NA,NA,NA
"867",NA,NA,0,NA
"868",NA,NA,NA,1
"869",NA,0,NA,NA
"870",0,NA,NA,NA
"871",NA,NA,0,NA
"872",NA,NA,0,NA
"873",NA,0,NA,NA
"874",NA,0,NA,NA
"875",NA,NA,NA,0
"876",NA,NA,NA,0
"877",0,NA,NA,NA
"878",NA,0,NA,NA
"879",NA,0,NA,NA
"880",NA,NA,NA,0
"881",NA,NA,NA,1
"882",NA,NA,0,NA
"883",1,NA,NA,NA
"884",1,NA,NA,NA
"885",NA,NA,1,NA
"886",NA,0,NA,NA
"887",NA,0,NA,NA
"888",NA,NA,0,NA
"889",NA,NA,0,NA
"890",NA,NA,NA,1
"891",0,NA,NA,NA
"892",0,NA,NA,NA
"893",NA,NA,0,NA
"894",0,NA,NA,NA
"895",NA,NA,NA,0
"896",NA,0,NA,NA
"897",NA,NA,0,NA
"898",NA,NA,NA,0
"899",NA,0,NA,NA
"900",NA,NA,NA,1
"901",0,NA,NA,NA
"902",NA,0,NA,NA
"903",NA,1,NA,NA
"904",NA,0,NA,NA
"905",0,NA,NA,NA
"906",NA,0,NA,NA
"907",NA,NA,0,NA
"908",NA,NA,NA,0
"909",NA,0,NA,NA
"910",NA,NA,0,NA
"911",0,NA,NA,NA
"912",0,NA,NA,NA
"913",0,NA,NA,NA
"914",NA,0,NA,NA
"915",NA,1,NA,NA
"916",0,NA,NA,NA
"917",0,NA,NA,NA
"918",NA,0,NA,NA
"919",0,NA,NA,NA
"920",NA,NA,0,NA
"921",NA,0,NA,NA
"922",NA,NA,0,NA
"923",NA,NA,0,NA
"924",NA,1,NA,NA
"925",NA,0,NA,NA
"926",NA,0,NA,NA
"927",1,NA,NA,NA
"928",NA,NA,0,NA
"929",NA,NA,1,NA
"930",0,NA,NA,NA
"931",1,NA,NA,NA
"932",1,NA,NA,NA
"933",1,NA,NA,NA
"934",NA,NA,NA,0
"935",NA,0,NA,NA
"936",0,NA,NA,NA
"937",NA,0,NA,NA
"938",1,NA,NA,NA
"939",NA,NA,NA,1
"940",0,NA,NA,NA
"941",NA,NA,0,NA
"942",NA,NA,0,NA
"943",1,NA,NA,NA
"944",NA,0,NA,NA
"945",NA,0,NA,NA
"946",NA,0,NA,NA
"947",1,NA,NA,NA
"948",1,NA,NA,NA
"949",0,NA,NA,NA
"950",NA,0,NA,NA
"951",NA,NA,0,NA
"952",NA,NA,NA,1
"953",NA,NA,NA,1
"954",NA,NA,0,NA
"955",NA,NA,NA,0
"956",NA,NA,NA,0
"957",NA,1,NA,NA
"958",NA,0,NA,NA
"959",NA,NA,0,NA
"960",NA,0,NA,NA
"961",NA,0,NA,NA
"962",NA,NA,NA,1
"963",NA,NA,NA,0
"964",NA,1,NA,NA
"965",NA,NA,NA,0
"966",0,NA,NA,NA
"967",NA,0,NA,NA
"968",NA,0,NA,NA
"969",NA,0,NA,NA
"970",NA,0,NA,NA
"971",NA,NA,NA,0
"972",0,NA,NA,NA
"973",NA,0,NA,NA
"974",1,NA,NA,NA
"975",NA,0,NA,NA
"976",NA,NA,NA,0
"977",NA,NA,0,NA
"978",NA,0,NA,NA
"979",0,NA,NA,NA
"980",NA,1,NA,NA
"981",NA,NA,NA,0
"982",0,NA,NA,NA
"983",NA,NA,0,NA
"984",0,NA,NA,NA
"985",NA,NA,NA,0
"986",0,NA,NA,NA
"987",NA,NA,NA,0
"988",0,NA,NA,NA
"989",NA,NA,NA,0
"990",NA,NA,0,NA
"991",NA,NA,0,NA
"992",NA,0,NA,NA
"993",0,NA,NA,NA
"994",NA,NA,0,NA
"995",1,NA,NA,NA
"996",NA,NA,NA,1
"997",0,NA,NA,NA
